5-10hz, 45.24, 11.13
10-15hz, 45.24, 11.41
15-20hz, 46.24, 11.64
20-25hz, 44.42, 11.65
25-30hz, 45.6, 11.37
30-35hz, 44.76, 11.72
35-40hz, 44.13, 11.38
40-45hz, 43.8, 10.14
45-50hz, 44.16, 11.41
50-55hz, 44.51, 10.1
55-60hz, 44.82, 10.64
60-65hz, 45.62, 10.42
65-70, 45.58, 11.11
70-75hz,44.84, 10.91
75-80hz, 45.49, 10.97
80-85hz, 44.67, 10.02
85-90hz, 42.56, 8.65
90-95, 47.24, 11.06
95-100, 44.69, 9.93
